player,country
N. Djokovic,SRB
R. Nadal,ESP
R. Bautista Agut,ESP
D. Lajovic,SRB
D. Medvedev,RUS
K. Khachanov,RUS
A. De Minaur,AUS
N. Kyrgios,AUS
D. Shapovalov,CAN
D. Schwartzman,ARG
G. Pella,ARG
D. Evans,GBR
C. Norrie,GBR
D. Goffin,BEL
K. Coppejans,BEL
G. Monfils,FRA
B. Paire,FRA
K. Anderson,RSA
L. Harris,RSA
C. Garin,CHI
N. Jarry,CHI
G. Simon,FRA
Y. Nishioka,JPN
G. Soeda,JPN
N. Basilashvili,GEO
A. Metreveli,GEO
P. Cuevas,URU
F. Roncadelli,URU
M. Cuevas,URU
S. Darcis,BEL
G. Dimitrov,BUL
D. Kuzmanov,BUL
R. Albot,MDA
A. Cozbinov,MDA
F. Fognini,ITA
S. Travaglia,ITA
J. Isner,USA
T. Fritz,USA
C. Ruud,NOR
V. Durasovic,NOR
B. Coric,CRO
D. Thiem,AUT
M. Cilic,CRO
D. Novak,AUT
H. Hurkacz,POL
K. Zuk,POL
K. Majchrzak,POL
S. Tsitsipas,GRE
A. Zverev,GER
J. Lennard Struff,GER
M. Pervolarakis,GRE
J. Millman,AUS
A. Rublev,RUS
C. Moutet,FRA
S. Wawrinka,SUI
M. Kecmanovic,SRB
A. Bedene,SLO
F. Verdasco,ESP
M. Fucsovics,HUN
P. Hugues Herbert,FRA
J. Chardy,FRA
A. Bublik,KAZ
M. Raonic,CAN
F. Krajinovic,SRB
C. Ilkel,TUR
J. Tsonga,FRA
L. Djere,SRB
M. Kukushkin,KAZ
G. Barrere,FRA
M. Ymer,SWE
A. Mannarino,FRA
T. Sandgren,USA
P. Andujar,ESP
K. Edmund,GBR
F. Tiafoe,USA
R. Berankis,LTU
J. Thompson,AUS
L. Sonego,ITA
M. Cecchinato,ITA
M. Jaziri,TUN
T. Paul,USA
P. Carreno Busta,ESP
A. Bolt,AUS
J. Munar,ESP
S. Querrey,USA
J. Duckworth,AUS
R. Opelka,USA
A. Popyrin,AUS
J. Ignacio Londero,ARG
S. Caruso,ITA
